date,no,no2,o3,so2,pm2_5,pm10,nh3,AQI_no2,AQI_so2,AQI_o3,AQI_pm2_5,issues,remedies,AQI
2020-11-25 01:00:00,2.18,70.6,13.59,38.62,103.98759624114228,411.73,28.63,67.6595744680851,53.275,12.354545454545454,175.57241907428542,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",175.57241907428542
2020-11-25 02:00:00,23.25,89.11,0.33,54.36,120.59766781035925,486.21,41.04,87.35106382978724,72.95,0.3,184.31456200545225,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",184.31456200545225
2020-11-25 03:00:00,52.75,100.08,1.11,68.67,133.19007699291382,541.95,49.14,99.02127659574468,90.8375,1.009090909090909,190.94214578574412,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",190.94214578574412
2020-11-25 04:00:00,50.96,111.04,6.44,78.2,130.5755013971915,534.0,48.13,103.86153846153846,101.0,5.8545454545454545,189.56605336694287,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",189.56605336694287
2020-11-25 05:00:00,42.92,117.9,17.17,87.74,128.60941129308006,529.19,46.61,106.5,105.33636363636363,15.60909090909091,188.5312691016211,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",188.5312691016211
2020-11-25 06:00:00,28.39,117.9,40.05,101.09,125.39940810960584,511.79,42.05,106.5,111.40454545454546,36.40909090909091,186.84179374189782,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",186.84179374189782
2020-11-25 07:00:00,14.53,105.56,83.69,185.01,88.70397226840225,349.2,12.79,101.75384615384615,149.55,142.3,167.52840645705382,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",167.52840645705382
2020-11-25 08:00:00,11.62,112.41,87.98,217.44,77.72982915354957,303.47,6.59,104.38846153846154,163.21008403361344,154.95000000000002,161.75254165976293,Severe respiratory distress(SO2),"Remain indoors with air purifiers, seek medical attention if symptoms worsen.",163.21008403361344
2020-11-25 09:00:00,7.04,109.67,95.84,213.62,74.18674024029335,289.86,6.02,103.33461538461539,161.60504201680672,174.60000000000002,159.88775802120702,Severe respiratory distress(O3),"Remain indoors with air purifiers, seek medical attention if symptoms worsen.",174.60000000000002
2020-11-25 10:00:00,3.1,93.22,104.43,152.59,76.46823010623372,302.27,12.16,91.72340425531914,134.81363636363636,196.07500000000002,161.08854216117564,Severe respiratory distress(O3),"Remain indoors with air purifiers, seek medical attention if symptoms worsen.",196.07500000000002
2020-11-25 11:00:00,1.27,94.59,86.55,103.95,80.37682902385247,324.34,21.28,93.18085106382979,112.70454545454545,151.375,163.14569948623813,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",163.14569948623813
2020-11-25 12:00:00,0.19,109.67,50.78,82.02,81.35545258391993,336.0,27.87,103.33461538461539,102.73636363636363,46.163636363636364,163.66076451785258,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",163.66076451785258
2020-11-25 13:00:00,0.6,120.64,19.67,69.62,83.5779892233502,354.19,35.47,107.55384615384615,92.025,17.881818181818183,164.83052064386854,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",164.83052064386854
2020-11-25 14:00:00,6.65,117.9,3.0,65.8,92.57425158878945,402.37,46.1,106.5,87.25,2.727272727272727,169.56539557304708,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",169.56539557304708
2020-11-25 15:00:00,16.09,105.56,0.25,63.9,103.56018534894416,456.38,50.66,101.75384615384615,84.875,0.22727272727272727,175.3474659731285,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",175.3474659731285
2020-11-25 16:00:00,19.67,98.71,0.08,59.61,110.74068833787274,490.96,42.05,97.56382978723403,79.5125,0.07272727272727272,179.1266780725646,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",179.1266780725646
2020-11-25 17:00:00,18.11,91.85,0.11,52.93,112.80110360440027,498.87,31.92,90.2659574468085,71.1625,0.09999999999999999,180.21110716021067,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",180.21110716021067
2020-11-25 18:00:00,13.19,83.63,0.31,42.92,105.28161956303869,461.24,20.52,81.52127659574468,58.650000000000006,0.2818181818181818,176.25348398054666,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",176.25348398054666
2020-11-25 19:00:00,7.15,74.71,0.89,33.85,93.04587740087015,400.17,12.16,72.03191489361701,47.013888888888886,0.8090909090909091,169.8136196846685,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",169.8136196846685
2020-11-25 20:00:00,4.75,65.8,1.4,30.99,86.06581538207585,365.32,9.63,62.5531914893617,43.041666666666664,1.2727272727272727,166.1399028326715,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",166.1399028326715
2020-11-25 21:00:00,4.25,58.26,1.39,30.52,80.56842701001027,340.62,8.74,54.53191489361702,42.388888888888886,1.2636363636363634,163.24654053158434,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",163.24654053158434
2020-11-25 22:00:00,5.42,53.47,0.83,30.99,76.74236260950562,320.68,7.92,49.50925925925926,43.041666666666664,0.7545454545454545,161.23282242605558,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",161.23282242605558
2020-11-25 23:00:00,8.16,49.35,0.31,31.47,74.33412330656856,305.06,7.09,45.69444444444444,43.70833333333333,0.2818181818181818,159.9653280560887,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",159.9653280560887
2020-11-26 00:00:00,13.19,46.61,0.07,33.38,73.16684942166884,296.45,7.28,43.157407407407405,46.361111111111114,0.06363636363636364,159.35097337982572,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",159.35097337982572
2020-11-26 01:00:00,23.92,45.93,0.01,39.1,75.53382146604883,305.4,10.26,42.52777777777778,53.875,0.00909090909090909,160.5967481400257,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",160.5967481400257
2020-11-26 02:00:00,47.83,51.41,0.02,53.88,87.63691886856968,359.04,17.48,47.60185185185185,72.35,0.01818181818181818,166.96679940451037,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",166.96679940451037
2020-11-26 03:00:00,67.06,60.32,1.1,73.43,96.08491622746514,398.42,23.81,56.72340425531915,96.78750000000001,1.0,171.41311380392904,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",171.41311380392904
2020-11-26 04:00:00,46.94,71.29,8.58,96.32,85.09603480598493,353.24,24.83,68.3936170212766,109.23636363636363,7.8,165.62949200314995,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",165.62949200314995
2020-11-26 05:00:00,34.42,72.66,20.74,103.95,74.44613443693774,315.31,28.37,69.85106382978722,112.70454545454545,18.854545454545452,160.02428128259882,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",160.02428128259882
2020-11-26 06:00:00,23.69,67.86,33.26,108.72,57.824272222418735,253.85,26.6,64.74468085106383,114.87272727272727,30.236363636363635,151.27593274864145,"Headaches, dizziness(pm2_5)","Increase ventilation, avoid using gas stoves without proper exhaust.",151.27593274864145
2020-11-26 07:00:00,9.95,49.35,66.52,90.6,30.505347057644464,139.51,12.79,45.69444444444444,106.63636363636363,85.99999999999999,89.54133986676167,"Aggravation of respiratory conditions (asthma, bronchitis)(SO2)","Stay indoors, use air purifiers with HEPA filters, consider wearing masks.",106.63636363636363
2020-11-26 08:00:00,7.49,42.5,82.25,83.92,23.858370768632167,111.59,10.13,39.351851851851855,103.6,137.5,75.33839907827385,"Aggravation of respiratory conditions (asthma, bronchitis)(O3)","Stay indoors, use air purifiers with HEPA filters, consider wearing masks.",137.5
